dateTime,windSpeed,NNAR,NNAR_Unscaled
2018-01-15T00:00:00Z,6.1969444586171045,6.20827375580389,6.14066736828758
2018-01-15T01:00:00Z,6.322777783870697,6.14529485176751,6.01881321653633
2018-01-15T02:00:00Z,6.8686111158794825,6.06676185351494,5.98820894283475
2018-01-15T03:00:00Z,7.7763889074325565,5.96774194231216,5.86943137557454
2018-01-15T04:00:00Z,8.663055576218499,5.75915132816359,5.68177416635975
2018-01-15T05:00:00Z,9.45166668759452,5.54092422912733,5.53549970813092
2018-01-15T06:00:00Z,9.623055552111731,5.16872564687504,5.2825908125835
2018-01-15T07:00:00Z,7.92861111164093,4.71603781594459,4.9999569802193
2018-01-15T08:00:00Z,7.259166671170129,4.3357229805046,4.67793030717119
2018-01-15T09:00:00Z,6.269722219970491,4.03038340233754,4.41834438325076
2018-01-15T10:00:00Z,6.829722225666046,3.7288235633374,4.18358736691522
2018-01-15T11:00:00Z,7.890277793672349,3.5511516215154,3.93602691768234
2018-01-15T12:00:00Z,8.757222219308217,3.49726693835359,3.82640551293936
2018-01-15T13:00:00Z,8.874999980131784,3.45504241612473,3.87496938304645
2018-01-15T14:00:00Z,8.95416669315762,3.37664819654496,3.80973026608608
2018-01-15T15:00:00Z,8.453333352671729,3.39780356806751,3.84119592714467
2018-01-15T16:00:00Z,8.583333343929715,3.37604248385525,3.88737105285917
2018-01-15T17:00:00Z,7.710000006357829,3.33453292550526,3.96538159453936
2018-01-15T18:00:00Z,6.238611123296949,3.35093463962498,4.06626534918509
2018-01-15T19:00:00Z,4.906111105945375,3.48463498172889,4.20706349870676
2018-01-15T20:00:00Z,6.251944442590077,3.72106833796597,4.40058210240503
2018-01-15T21:00:00Z,5.9816666788525055,3.96000566335758,4.68703083446811
2018-01-15T22:00:00Z,6.633055554495917,4.3001395764561,4.99821266953922
2018-01-15T23:00:00Z,6.129444439543618,4.6525653519481,5.23967467287542
2018-01-16T00:00:00Z,4.963611101938619,4.98977673583071,5.40894594489434
2018-01-16T01:00:00Z,5.384444448020723,5.13727355840014,5.49174119982015
2018-01-16T02:00:00Z,6.405277782016331,5.12910495066596,5.47834580848948
2018-01-16T03:00:00Z,7.509166676468319,5.04671637733261,5.2874408433025
2018-01-16T04:00:00Z,7.748055553436279,4.8979965832775,5.08767400902095
2018-01-16T05:00:00Z,6.670277776983049,4.69003525024615,4.86545526525533
2018-01-16T06:00:00Z,7.21361110607783,4.44379384270323,4.62175392652886
2018-01-16T07:00:00Z,7.790000009536743,4.17692518275735,4.39096772112543
2018-01-16T08:00:00Z,5.933611102236641,3.91766303102039,4.11459827397513
2018-01-16T09:00:00Z,6.652777761883206,3.68504480601798,3.89061095363358
2018-01-16T10:00:00Z,7.2247222324212395,3.48559817909325,3.66455699876213
2018-01-16T11:00:00Z,8.101944445239173,3.31865259226685,3.47028990834877
2018-01-16T12:00:00Z,8.375555569595761,3.18496672053113,3.25709689737129
2018-01-16T13:00:00Z,7.0955555644300246,3.08016282632236,3.11442835982047
2018-01-16T14:00:00Z,6.860555573966768,2.99794228053661,3.04306241922279
2018-01-16T15:00:00Z,4.480555550919639,2.93065372036977,3.00847162396094
2018-01-16T16:00:00Z,6.255277778704961,2.88129217713512,2.99280948230327
2018-01-16T17:00:00Z,5.106666670905219,2.85043931038488,2.9894592532377
2018-01-16T18:00:00Z,6.641944458749559,2.84723165275172,3.0117860106544
2018-01-16T19:00:00Z,6.139999993642172,2.88509329801623,3.10062007532973
2018-01-16T20:00:00Z,5.5369444456365375,2.96722126148036,3.2257247280579
2018-01-16T21:00:00Z,7.378055544694265,3.0856881727187,3.3714526289201
2018-01-16T22:00:00Z,7.581388898690542,3.228636427881,3.51920000775349
2018-01-16T23:00:00Z,6.780000004503462,3.38406230461757,3.65094881386667
