Method,ME,RMSE,MAE,MPE,MAPE
mean,3.29494447991939,3.508443407165754,3.29494447991939,45.081959584116056,45.081959584116056
drift,1.016336083895443,1.5774739506534174,1.2658036238927248,11.751166785983335,16.799704396428904
persist,1.0224421227937246,1.5804758492291247,1.2692824045575621,11.8434277074401,16.841641791183378
newRef,2.4420687466896194,2.726276070293635,2.4420687466896194,32.79626191673359,32.79626191673359
