dateTime,windSpeed,STLARIMA,STLARIMA_BC_Auto,STLARIMA_BC
2018-01-15T00:00:00Z,6.1969444586171045,5.49105992334927,4.80542950223549,4.82336709464501
2018-01-15T01:00:00Z,6.322777783870697,4.92956448103759,3.75699369770123,3.7935865709804
2018-01-15T02:00:00Z,6.8686111158794825,4.58688134032937,4.82701654977191,3.970337388539
2018-01-15T03:00:00Z,7.7763889074325565,4.42221272496144,4.8821778485285,3.79689140755438
2018-01-15T04:00:00Z,8.663055576218499,3.2805327768435,4.40775961636478,2.57807743521925
2018-01-15T05:00:00Z,9.45166668759452,2.98445202905114,4.62445474069489,1.9493195561643
2018-01-15T06:00:00Z,9.623055552111731,3.12974259364979,4.62454997621138,2.29199422587542
2018-01-15T07:00:00Z,7.92861111164093,4.23773449352249,4.66928060840854,3.55896690540352
2018-01-15T08:00:00Z,7.259166671170129,4.2113725388142,4.39602628792224,3.27427812341046
2018-01-15T09:00:00Z,6.269722219970491,3.61377485037087,3.76778276581537,2.56954613034627
2018-01-15T10:00:00Z,6.829722225666046,3.5834667076529,4.52617875973228,2.66383124439205
2018-01-15T11:00:00Z,7.890277793672349,3.60579125517226,4.21417952031269,2.39522026504211
2018-01-15T12:00:00Z,8.757222219308217,4.36434217407263,4.77067706293248,3.29562952856641
2018-01-15T13:00:00Z,8.874999980131784,4.22104827013974,5.34174776681684,3.19282583575955
2018-01-15T14:00:00Z,8.95416669315762,4.65610763744141,5.31523364362188,4.05292975725683
2018-01-15T15:00:00Z,8.453333352671729,4.20983923442579,5.13670432385058,3.51485972053699
2018-01-15T16:00:00Z,8.583333343929715,3.8896936178367,5.1567449523585,3.05466656818428
2018-01-15T17:00:00Z,7.710000006357829,3.60906381118143,4.75724358476979,2.67876971952328
2018-01-15T18:00:00Z,6.238611123296949,4.08446153210788,4.49103699654349,2.96269561312057
2018-01-15T19:00:00Z,4.906111105945375,4.16369439555305,4.8490750782981,3.42035248350649
2018-01-15T20:00:00Z,6.251944442590077,4.4340712616105,5.59767144360147,3.6083279281456
2018-01-15T21:00:00Z,5.9816666788525055,4.17086412874722,5.37304959460881,3.39876392252215
2018-01-15T22:00:00Z,6.633055554495917,4.5747892882295,4.97676268790043,3.88364849908384
2018-01-15T23:00:00Z,6.129444439543618,4.28792507425413,5.37241274610763,3.59128089814601
2018-01-16T00:00:00Z,4.963611101938619,3.7903734172925,4.53124446097462,3.016001675669
2018-01-16T01:00:00Z,5.384444448020723,3.27491774980469,3.75966897158346,2.37544327918218
2018-01-16T02:00:00Z,6.405277782016331,3.22162686587212,4.88278041158237,2.47160837329892
2018-01-16T03:00:00Z,7.509166676468319,3.15562908150325,4.8893058312145,2.33962718880754
2018-01-16T04:00:00Z,7.748055553436279,3.62603004563156,4.40135054018586,2.9028008925349
2018-01-16T05:00:00Z,6.670277776983049,3.36943737587881,4.62194053900957,2.49821769082917
2018-01-16T06:00:00Z,7.21361110607783,3.41692318790922,4.62519063895241,2.55631670191385
2018-01-16T07:00:00Z,7.790000009536743,2.85626058497226,4.66979035548246,2.0002465652787
2018-01-16T08:00:00Z,5.933611102236641,2.80513501455238,4.39602186738391,1.78307541844146
2018-01-16T09:00:00Z,6.652777761883206,2.38234667825691,3.76771082818442,1.39163936292293
2018-01-16T10:00:00Z,7.2247222324212395,2.5617303270731,4.52616462664844,1.52761538917604
2018-01-16T11:00:00Z,8.101944445239173,2.35489687613065,4.21418933113498,1.06847422903974
2018-01-16T12:00:00Z,8.375555569595761,2.81326211567373,4.77068139736391,1.45169083540333
2018-01-16T13:00:00Z,7.0955555644300246,2.73832266065191,5.34174679304677,1.34483734605355
2018-01-16T14:00:00Z,6.860555573966768,2.90285344185168,5.31523272127688,1.68251983231036
2018-01-16T15:00:00Z,4.480555550919639,2.90441189065053,5.13670430748379,1.90287512246578
2018-01-16T16:00:00Z,6.255277778704961,3.01547367703852,5.1567450935673,2.16709231638404
2018-01-16T17:00:00Z,5.106666670905219,2.81438783701619,4.75724361204042,2.06916930120103
2018-01-16T18:00:00Z,6.641944458749559,2.68193266503472,4.49103698089904,1.99259999930532
2018-01-16T19:00:00Z,6.139999993642172,2.6866356205445,4.84907507083227,2.18821620925545
2018-01-16T20:00:00Z,5.5369444456365375,3.63378086654809,5.59767144497094,2.80926766197378
2018-01-16T21:00:00Z,7.378055544694265,3.22750764195335,5.37304959613214,2.308188538784
2018-01-16T22:00:00Z,7.581388898690542,2.68908248752378,4.97676268796713,1.92546397447299
2018-01-16T23:00:00Z,6.780000004503462,2.89787509467322,5.37241274587769,2.21885290492318
