dateTime,windSpeed,TBATS
2018-01-15T00:00:00Z,6.1969444586171045,5.80015230475012
2018-01-15T01:00:00Z,6.322777783870697,5.54245224694479
2018-01-15T02:00:00Z,6.8686111158794825,5.34350375298563
2018-01-15T03:00:00Z,7.7763889074325565,5.16643553401959
2018-01-15T04:00:00Z,8.663055576218499,4.97426706905832
2018-01-15T05:00:00Z,9.45166668759452,4.75619203258293
2018-01-15T06:00:00Z,9.623055552111731,4.53980480563094
2018-01-15T07:00:00Z,7.92861111164093,4.37935246905544
2018-01-15T08:00:00Z,7.259166671170129,4.32656582844413
2018-01-15T09:00:00Z,6.269722219970491,4.400723552767
2018-01-15T10:00:00Z,6.829722225666046,4.57166567201878
2018-01-15T11:00:00Z,7.890277793672349,4.7633272494591
2018-01-15T12:00:00Z,8.757222219308217,4.88111211804413
2018-01-15T13:00:00Z,8.874999980131784,4.85510565921998
2018-01-15T14:00:00Z,8.95416669315762,4.67518897219182
2018-01-15T15:00:00Z,8.453333352671729,4.39378541733161
2018-01-15T16:00:00Z,8.583333343929715,4.09435496319411
2018-01-15T17:00:00Z,7.710000006357829,3.84839782883917
2018-01-15T18:00:00Z,6.238611123296949,3.68735119826893
2018-01-15T19:00:00Z,4.906111105945375,3.59987360030314
2018-01-15T20:00:00Z,6.251944442590077,3.54921975930263
2018-01-15T21:00:00Z,5.9816666788525055,3.49913466938326
2018-01-15T22:00:00Z,6.633055554495917,3.43475030492254
2018-01-15T23:00:00Z,6.129444439543618,3.36696092085411
2018-01-16T00:00:00Z,4.963611101938619,3.31886957215843
2018-01-16T01:00:00Z,5.384444448020723,3.30508050605938
2018-01-16T02:00:00Z,6.405277782016331,3.31817237954038
2018-01-16T03:00:00Z,7.509166676468319,3.33100251149835
2018-01-16T04:00:00Z,7.748055553436279,3.31438499312087
2018-01-16T05:00:00Z,6.670277776983049,3.25993701436049
2018-01-16T06:00:00Z,7.21361110607783,3.1920960057951
2018-01-16T07:00:00Z,7.790000009536743,3.1593174938304
2018-01-16T08:00:00Z,5.933611102236641,3.20951715240653
2018-01-16T09:00:00Z,6.652777761883206,3.36380958654901
2018-01-16T10:00:00Z,7.2247222324212395,3.59962521350118
2018-01-16T11:00:00Z,8.101944445239173,3.85069923253324
2018-01-16T12:00:00Z,8.375555569595761,4.03015017459961
2018-01-16T13:00:00Z,7.0955555644300246,4.07130921246145
2018-01-16T14:00:00Z,6.860555573966768,3.96279421683057
2018-01-16T15:00:00Z,4.480555550919639,3.75273040422276
2018-01-16T16:00:00Z,6.255277778704961,3.51938837931813
2018-01-16T17:00:00Z,5.106666670905219,3.33036273268483
2018-01-16T18:00:00Z,6.641944458749559,3.21595222715793
2018-01-16T19:00:00Z,6.139999993642172,3.16648160776783
2018-01-16T20:00:00Z,5.5369444456365375,3.14823913628447
2018-01-16T21:00:00Z,7.378055544694265,3.12752679578532
2018-01-16T22:00:00Z,7.581388898690542,3.09051143870662
2018-01-16T23:00:00Z,6.780000004503462,3.0477192127018
