Model,ME,RMSE,MAE,MPE,MAPE
STLN,3.2513490413399126,3.539575493342224,3.2513490413399126,44.47753222221124,44.47753222221124
STLN_BC_Auto,1.6776085900843503,2.1177417658773674,1.8047954873099605,21.446456276181216,24.05163376669003
STLN_BC,3.9356331213827036,4.2181434429932105,3.9356331213827036,54.419223905748375,54.419223905748375
