dateTime,windSpeed,ARIMA,ARIMA_BC_Auto,ARIMA_BC
2018-01-15T00:00:00Z,6.1969444586171045,6.2103485186013,6.0351592141084,6.08521771566494
2018-01-15T01:00:00Z,6.322777783870697,6.12396746959619,5.79101679442908,5.82409731746943
2018-01-15T02:00:00Z,6.8686111158794825,6.10327941665786,5.76470233854571,5.79944756451128
2018-01-15T03:00:00Z,7.7763889074325565,6.05848724718592,5.69731561018395,5.73333728271472
2018-01-15T04:00:00Z,8.663055576218499,5.98191154522217,5.62414462150459,5.65396471995889
2018-01-15T05:00:00Z,9.45166668759452,5.98191154522217,5.62414462150459,5.65396471995889
2018-01-15T06:00:00Z,9.623055552111731,5.98191154522217,5.62414462150459,5.65396471995889
2018-01-15T07:00:00Z,7.92861111164093,5.98191154522217,5.62414462150459,5.65396471995889
2018-01-15T08:00:00Z,7.259166671170129,5.98191154522217,5.62414462150459,5.65396471995889
2018-01-15T09:00:00Z,6.269722219970491,5.98191154522217,5.62414462150459,5.65396471995889
2018-01-15T10:00:00Z,6.829722225666046,5.98191154522217,5.62414462150459,5.65396471995889
2018-01-15T11:00:00Z,7.890277793672349,5.98191154522217,5.62414462150459,5.65396471995889
2018-01-15T12:00:00Z,8.757222219308217,5.98191154522217,5.62414462150459,5.65396471995889
2018-01-15T13:00:00Z,8.874999980131784,5.98191154522217,5.62414462150459,5.65396471995889
2018-01-15T14:00:00Z,8.95416669315762,5.98191154522217,5.62414462150459,5.65396471995889
2018-01-15T15:00:00Z,8.453333352671729,5.98191154522217,5.62414462150459,5.65396471995889
2018-01-15T16:00:00Z,8.583333343929715,5.98191154522217,5.62414462150459,5.65396471995889
2018-01-15T17:00:00Z,7.710000006357829,5.98191154522217,5.62414462150459,5.65396471995889
2018-01-15T18:00:00Z,6.238611123296949,5.98191154522217,5.62414462150459,5.65396471995889
2018-01-15T19:00:00Z,4.906111105945375,5.98191154522217,5.62414462150459,5.65396471995889
2018-01-15T20:00:00Z,6.251944442590077,5.98191154522217,5.62414462150459,5.65396471995889
2018-01-15T21:00:00Z,5.9816666788525055,5.98191154522217,5.62414462150459,5.65396471995889
2018-01-15T22:00:00Z,6.633055554495917,5.98191154522217,5.62414462150459,5.65396471995889
2018-01-15T23:00:00Z,6.129444439543618,5.98191154522217,5.62414462150459,5.65396471995889
2018-01-16T00:00:00Z,4.963611101938619,5.98191154522217,5.62414462150459,5.65396471995889
2018-01-16T01:00:00Z,5.384444448020723,5.98191154522217,5.62414462150459,5.65396471995889
2018-01-16T02:00:00Z,6.405277782016331,5.98191154522217,5.62414462150459,5.65396471995889
2018-01-16T03:00:00Z,7.509166676468319,5.98191154522217,5.62414462150459,5.65396471995889
2018-01-16T04:00:00Z,7.748055553436279,5.98191154522217,5.62414462150459,5.65396471995889
2018-01-16T05:00:00Z,6.670277776983049,5.98191154522217,5.62414462150459,5.65396471995889
2018-01-16T06:00:00Z,7.21361110607783,5.98191154522217,5.62414462150459,5.65396471995889
2018-01-16T07:00:00Z,7.790000009536743,5.98191154522217,5.62414462150459,5.65396471995889
2018-01-16T08:00:00Z,5.933611102236641,5.98191154522217,5.62414462150459,5.65396471995889
2018-01-16T09:00:00Z,6.652777761883206,5.98191154522217,5.62414462150459,5.65396471995889
2018-01-16T10:00:00Z,7.2247222324212395,5.98191154522217,5.62414462150459,5.65396471995889
2018-01-16T11:00:00Z,8.101944445239173,5.98191154522217,5.62414462150459,5.65396471995889
2018-01-16T12:00:00Z,8.375555569595761,5.98191154522217,5.62414462150459,5.65396471995889
2018-01-16T13:00:00Z,7.0955555644300246,5.98191154522217,5.62414462150459,5.65396471995889
2018-01-16T14:00:00Z,6.860555573966768,5.98191154522217,5.62414462150459,5.65396471995889
2018-01-16T15:00:00Z,4.480555550919639,5.98191154522217,5.62414462150459,5.65396471995889
2018-01-16T16:00:00Z,6.255277778704961,5.98191154522217,5.62414462150459,5.65396471995889
2018-01-16T17:00:00Z,5.106666670905219,5.98191154522217,5.62414462150459,5.65396471995889
2018-01-16T18:00:00Z,6.641944458749559,5.98191154522217,5.62414462150459,5.65396471995889
2018-01-16T19:00:00Z,6.139999993642172,5.98191154522217,5.62414462150459,5.65396471995889
2018-01-16T20:00:00Z,5.5369444456365375,5.98191154522217,5.62414462150459,5.65396471995889
2018-01-16T21:00:00Z,7.378055544694265,5.98191154522217,5.62414462150459,5.65396471995889
2018-01-16T22:00:00Z,7.581388898690542,5.98191154522217,5.62414462150459,5.65396471995889
2018-01-16T23:00:00Z,6.780000004503462,5.98191154522217,5.62414462150459,5.65396471995889
